User ID,Subscription Type,999,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,932,Plan Duration,,
25,Basic,990,10,14-03-23,28-06-23,Germany,40,Female,Laptop,,1 Month,,
26,Premium,990,15,12/1/2022,27-06-23,France,29,Male,Smartphone,,1 Month,,
27,Basic,989,10,29-08-22,25-06-23,Brazil,47,Female,Smart TV,,1 Month,,
28,Standard,989,12,27-09-21,24-06-23,Mexico,33,Male,Tablet,,1 Month,,
29,Premium,989,15,19-12-22,23-06-23,Spain,36,Female,Laptop,,1 Month,,
30,Basic,988,10,17-05-23,22-06-23,Italy,42,Male,Smartphone,,1 Month,,
31,Premium,988,15,3/2/2023,22-06-23,United States,28,Female,Smart TV,,1 Month,,
32,Basic,987,10,7/7/2022,28-06-23,Canada,37,Male,Tablet,,1 Month,,
33,Standard,987,12,21-01-22,27-06-23,United Kingdom,41,Female,Laptop,,1 Month,,
34,Standard,987,12,25-05-22,26-06-23,Australia,29,Male,Smartphone,,1 Month,,
35,Basic,986,10,11/4/2023,28-06-23,Germany,39,Female,Smart TV,,1 Month,,
36,Premium,986,15,1/3/2022,27-06-23,France,35,Male,Tablet,,1 Month,,
37,Basic,985,10,14-09-22,25-06-23,Brazil,45,Female,Laptop,,1 Month,,
38,Standard,985,12,5/11/2021,24-06-23,Mexico,32,Male,Smartphone,,1 Month,,
39,Premium,985,15,28-12-22,23-06-23,Spain,27,Female,Smart TV,,1 Month,,
40,Basic,984,10,7/3/2023,22-06-23,Italy,48,Male,Tablet,,1 Month,,
41,Premium,984,15,20-01-23,22-06-23,United States,31,Female,Laptop,,1 Month,,
42,Basic,983,10,15-06-22,28-06-23,Canada,40,Male,Smartphone,,1 Month,,
43,Standard,983,12,7/2/2022,27-06-23,United Kingdom,36,Female,Smart TV,,1 Month,,
44,Standard,983,12,26-04-22,26-06-23,Australia,29,Male,Tablet,,1 Month,,
45,Basic,982,10,28-01-23,28-06-23,Germany,43,Female,Laptop,,1 Month,,
46,Premium,982,15,23-02-22,27-06-23,France,34,Male,Smartphone,,1 Month,,
47,Basic,981,10,5/10/2022,25-06-23,Brazil,39,Female,Smart TV,,1 Month,,
48,Standard,981,12,15-09-21,24-06-23,Mexico,32,Male,Tablet,,1 Month,,
49,Premium,981,15,10/11/2022,23-06-23,Spain,28,Female,Laptop,,1 Month,,
50,Basic,980,10,2/6/2023,22-06-23,Italy,45,Male,Smartphone,,1 Month,,
51,Premium,980,15,27-02-23,22-06-23,United States,30,Female,Smart TV,,1 Month,,
52,Basic,979,10,29-08-22,28-06-23,Canada,37,Male,Tablet,,1 Month,,
53,Standard,979,12,13-01-22,27-06-23,United Kingdom,41,Female,Laptop,,1 Month,,
54,Standard,979,12,30-06-22,26-06-23,Australia,29,Male,Smartphone,,1 Month,,
55,Basic,978,10,20-04-23,28-06-23,Germany,39,Female,Smart TV,,1 Month,,
56,Premium,978,15,15-03-22,27-06-23,France,36,Male,Tablet,,1 Month,,
57,Basic,977,10,1/10/2022,25-06-23,Brazil,46,Female,Laptop,,1 Month,,
58,Standard,977,12,8/10/2021,24-06-23,Mexico,34,Male,Smartphone,,1 Month,,
59,Premium,977,15,3/12/2022,23-06-23,Spain,27,Female,Smart TV,,1 Month,,
60,Basic,976,10,14-06-23,22-06-23,Italy,42,Male,Tablet,,1 Month,,
61,Premium,976,15,8/2/2023,22-06-23,United States,28,Female,Laptop,,1 Month,,
62,Basic,975,10,3/8/2022,28-06-23,Canada,37,Male,Smartphone,,1 Month,,
63,Standard,975,12,23-02-22,27-06-23,United Kingdom,41,Female,Smart TV,,1 Month,,
64,Standard,975,12,20-06-22,26-06-23,Australia,29,Male,Tablet,,1 Month,,
65,Basic,974,10,29-03-23,28-06-23,Germany,40,Female,Laptop,,1 Month,,
66,Premium,974,15,30-01-22,27-06-23,France,29,Male,Smartphone,,1 Month,,
67,Basic,973,10,18-09-22,25-06-23,Brazil,47,Female,Smart TV,,1 Month,,
68,Standard,973,12,9/11/2021,24-06-23,Mexico,33,Male,Tablet,,1 Month,,
69,Premium,973,15,23-12-22,23-06-23,Spain,36,Female,Laptop,,1 Month,,
70,Basic,972,10,8/5/2023,22-06-23,Italy,41,Male,Smartphone,,1 Month,,
71,Basic,971,10,26-01-22,20-06-23,United States,27,Male,Smartphone,,1 Month,,
72,Basic,970,10,11/10/2022,22-06-23,Canada,31,Female,Smartphone,,1 Month,,
73,Standard,970,12,27-09-22,26-06-23,United Kingdom,28,Female,Laptop,,1 Month,,
74,Premium,970,13,14-12-22,25-06-23,Australia,41,Female,Smartphone,,1 Month,,
75,Basic,969,13,28-05-22,26-06-23,Germany,28,Female,Laptop,,1 Month,,
76,Basic,968,13,29-12-21,26-06-23,France,51,Female,Laptop,,1 Month,,
77,Premium,968,15,25-12-22,23-06-23,Brazil,45,Female,Smartphone,,1 Month,,
78,Standard,968,15,18-11-22,28-06-23,Mexico,49,Male,Tablet,,1 Month,,
79,Standard,968,15,3/12/2022,25-06-23,Spain,43,Female,Laptop,,1 Month,,
80,Basic,967,12,8/11/2022,22-06-23,Italy,43,Male,Tablet,,1 Month,,
81,Premium,967,10,11/1/2023,24-06-23,United States,37,Male,Tablet,,1 Month,,
82,Standard,967,12,7/12/2022,28-06-23,Canada,35,Male,Laptop,,1 Month,,
83,Basic,966,10,20-10-22,26-06-23,United Kingdom,46,Female,Smartphone,,1 Month,,
84,Standard,966,12,13-04-23,25-06-23,Australia,32,Male,Smartphone,,1 Month,,
85,Premium,966,10,6/4/2023,27-06-23,Germany,37,Female,Laptop,,1 Month,,
86,Basic,965,11,4/3/2022,25-06-23,France,29,Female,Smartphone,,1 Month,,
87,Premium,965,15,28-12-21,23-06-23,Brazil,45,Male,Smart TV,,1 Month,,
88,Standard,965,12,27-09-22,28-06-23,Mexico,47,Male,Tablet,,1 Month,,
89,Basic,964,15,20-10-22,26-06-23,Spain,39,Male,Smartphone,,1 Month,,
90,Standard,964,13,3/2/2023,23-06-23,Italy,49,Female,Smartphone,,1 Month,,
91,Premium,964,11,3/10/2022,23-06-23,United States,39,Male,Tablet,,1 Month,,
92,Basic,963,14,5/1/2022,28-06-23,Canada,39,Male,Smart TV,,1 Month,,
93,Standard,963,12,5/2/2022,26-06-23,United Kingdom,35,Male,Smartphone,,1 Month,,
94,Premium,963,12,19-03-22,25-06-23,Australia,44,Male,Smartphone,,1 Month,,
95,Basic,962,11,28-02-22,25-06-23,Germany,34,Male,Laptop,,1 Month,,
96,Premium,962,14,26-07-22,24-06-23,France,32,Male,Laptop,,1 Month,,
97,Basic,961,10,5/3/2022,24-06-23,Brazil,29,Female,Tablet,,1 Month,,
98,Standard,961,13,7/3/2022,28-06-23,Mexico,31,Female,Tablet,,1 Month,,
99,Standard,961,12,13-01-23,24-06-23,Spain,29,Female,Tablet,,1 Month,,
100,Basic,960,12,22-01-23,25-06-23,Italy,35,Male,Laptop,,1 Month,,
101,Premium,960,11,17-10-22,24-06-23,United States,46,Female,Tablet,,1 Month,,
102,Basic,959,12,29-03-22,28-06-23,Canada,31,Male,Tablet,,1 Month,,
103,Standard,959,13,4/4/2022,26-06-23,United Kingdom,36,Male,Laptop,,1 Month,,
104,Premium,959,10,8/6/2022,25-06-23,Australia,38,Male,Laptop,,1 Month,,
105,Basic,958,11,4/3/2022,27-06-23,Germany,46,Female,Laptop,,1 Month,,
106,Premium,958,10,18-03-22,24-06-23,France,49,Female,Tablet,,1 Month,,
107,Basic,957,14,7/3/2022,24-06-23,Brazil,29,Female,Smart TV,,1 Month,,
108,Standard,957,12,24-05-22,25-06-23,Mexico,27,Female,Smart TV,,1 Month,,
109,Standard,957,13,8/2/2023,25-06-23,Spain,35,Female,Tablet,,1 Month,,
110,Basic,956,13,26-01-23,24-06-23,Italy,37,Female,Laptop,,1 Month,,
111,Premium,956,14,14-07-22,27-06-23,United States,40,Male,Tablet,,1 Month,,
112,Basic,955,10,1/6/2022,28-06-23,Canada,33,Female,Laptop,,1 Month,,
113,Standard,955,15,7/5/2022,26-06-23,United Kingdom,37,Male,Tablet,,1 Month,,
114,Premium,955,10,18-11-22,25-06-23,Australia,48,Male,Smartphone,,1 Month,,
115,Basic,954,11,5/4/2022,25-06-23,Germany,50,Female,Laptop,,1 Month,,
116,Premium,954,14,19-05-22,23-06-23,France,45,Female,Smart TV,,1 Month,,
117,Basic,953,15,30-10-21,23-06-23,Brazil,40,Female,Tablet,,1 Month,,
118,Standard,953,12,7/8/2022,27-06-23,Mexico,33,Male,Smartphone,,1 Month,,
119,Standard,953,11,20-09-22,25-06-23,Spain,44,Female,Smartphone,,1 Month,,
120,Basic,952,10,18-10-22,25-06-23,Italy,30,Female,Smart TV,,1 Month,,
121,Premium,952,15,3/10/2022,24-06-23,United States,27,Male,Smart TV,,1 Month,,
122,Basic,951,11,3/5/2022,28-06-23,Canada,51,Male,Smart TV,,1 Month,,
123,Standard,951,13,25-05-22,26-06-23,United Kingdom,49,Female,Smartphone,,1 Month,,
124,Premium,951,15,5/11/2022,25-06-23,Australia,43,Male,Laptop,,1 Month,,
125,Basic,950,12,21-08-22,24-06-23,Germany,42,Male,Smartphone,,1 Month,,
126,Premium,950,13,21-09-22,23-06-23,France,45,Male,Laptop,,1 Month,,
127,Basic,949,10,23-11-21,23-06-23,Brazil,36,Male,Smartphone,,1 Month,,
128,Standard,949,12,6/10/2022,27-06-23,Mexico,48,Male,Smartphone,,1 Month,,
129,Standard,949,13,5/11/2022,23-06-23,Spain,38,Male,Smart TV,,1 Month,,
130,Basic,948,14,7/1/2023,23-06-23,Italy,43,Female,Tablet,,1 Month,,
131,Premium,948,15,6/10/2022,23-06-23,United States,47,Male,Laptop,,1 Month,,
132,Basic,947,15,24-06-22,28-06-23,Canada,48,Female,Smart TV,,1 Month,,
133,Standard,947,13,24-06-22,26-06-23,United Kingdom,47,Male,Smart TV,,1 Month,,
134,Premium,947,15,5/11/2022,25-06-23,Australia,32,Male,Tablet,,1 Month,,
135,Basic,946,13,18-07-22,26-06-23,Germany,47,Female,Smart TV,,1 Month,,
136,Premium,946,12,13-09-22,26-06-23,France,41,Female,Smart TV,,1 Month,,
137,Basic,945,12,10/8/2022,22-06-23,Brazil,49,Male,Laptop,,1 Month,,
138,Standard,945,15,21-09-22,23-06-23,Mexico,28,Male,Laptop,,1 Month,,
139,Standard,945,13,24-03-23,23-06-23,Spain,40,Male,Smartphone,,1 Month,,
140,Basic,944,12,2/5/2022,23-06-23,Italy,43,Female,Smartphone,,1 Month,,
141,Premium,944,12,11/5/2022,27-06-23,United States,42,Male,Smartphone,,1 Month,,
142,Basic,943,14,10/6/2022,22-06-23,Canada,28,Male,Smart TV,,1 Month,,
143,Standard,943,14,31-08-22,24-06-23,United Kingdom,30,Female,Tablet,,1 Month,,
144,Premium,943,10,17-08-22,26-06-23,Australia,33,Male,Smart TV,,1 Month,,
145,Basic,942,11,5/5/2022,26-06-23,Germany,35,Female,Laptop,,1 Month,,
146,Basic,941,10,6/10/2022,25-06-23,France,38,Male,Tablet,,1 Month,,
147,Basic,940,12,8/11/2022,24-06-23,Brazil,49,Female,Laptop,,1 Month,,
148,Standard,940,15,27-11-22,28-06-23,Mexico,39,Female,Smartphone,,1 Month,,
149,Premium,940,13,17-11-22,27-06-23,Spain,46,Female,Smart TV,,1 Month,,
150,Basic,939,10,15-12-22,23-06-23,Italy,47,Female,Laptop,,1 Month,,
151,Basic,938,15,12/12/2022,25-06-23,United States,30,Female,Laptop,,1 Month,,
152,Premium,938,14,23-11-22,27-06-23,Canada,33,Female,Tablet,,1 Month,,
153,Standard,938,11,25-12-22,24-06-23,United Kingdom,47,Male,Smartphone,,1 Month,,
154,Standard,938,11,11/3/2023,27-06-23,Australia,27,Male,Laptop,,1 Month,,
155,Basic,937,14,18-11-22,27-06-23,Germany,28,Male,Tablet,,1 Month,,
156,Premium,937,15,19-08-22,25-06-23,France,47,Male,Smartphone,,1 Month,,
157,Standard,937,14,27-09-22,24-06-23,Brazil,30,Male,Laptop,,1 Month,,
158,Basic,936,13,19-10-22,28-06-23,Mexico,47,Female,Smartphone,,1 Month,,
159,Standard,936,10,21-12-22,26-06-23,Spain,51,Female,Smart TV,,1 Month,,
160,Premium,936,15,27-10-22,25-06-23,Italy,39,Male,Smartphone,,1 Month,,
161,Basic,935,10,23-10-22,24-06-23,United States,45,Male,Tablet,,1 Month,,
162,Premium,935,15,19-04-22,25-06-23,Canada,31,Male,Laptop,,1 Month,,
163,Standard,935,11,5/4/2022,26-06-23,United Kingdom,29,Male,Laptop,,1 Month,,
164,Basic,934,11,11/3/2022,26-06-23,Australia,42,Female,Tablet,,1 Month,,
165,Standard,934,14,25-05-22,25-06-23,Germany,49,Male,Tablet,,1 Month,,
166,Premium,934,13,16-04-22,26-06-23,France,42,Male,Laptop,,1 Month,,
167,Basic,933,13,7/4/2022,24-06-23,Brazil,29,Male,Smartphone,,1 Month,,
168,Standard,933,10,11/12/2022,28-06-23,Mexico,29,Male,Tablet,,1 Month,,
169,Premium,933,12,20-01-23,26-06-23,Spain,49,Male,Tablet,,1 Month,,
170,Basic,932,14,12/1/2023,25-06-23,Italy,32,Male,Laptop,,1 Month,,
171,Premium,932,11,29-04-22,24-06-23,United States,35,Female,Tablet,,1 Month,,
172,Basic,931,12,27-04-22,26-06-23,Canada,39,Female,Smartphone,,1 Month,,
173,Standard,931,15,3/6/2022,25-06-23,United Kingdom,40,Male,Smartphone,,1 Month,,
174,Standard,931,14,23-04-22,25-06-23,Australia,39,Female,Tablet,,1 Month,,
175,Basic,930,10,22-04-22,26-06-23,Germany,47,Female,Laptop,,1 Month,,
176,Premium,930,13,12/4/2022,25-06-23,France,37,Female,Smart TV,,1 Month,,
177,Basic,929,15,23-05-22,26-06-23,Brazil,27,Female,Smartphone,,1 Month,,
178,Standard,929,13,19-10-22,26-06-23,Mexico,49,Female,Laptop,,1 Month,,
179,Premium,929,10,3/12/2022,26-06-23,Spain,30,Female,Tablet,,1 Month,,
180,Basic,928,14,26-09-22,25-06-23,Italy,36,Male,Laptop,,1 Month,,
181,Premium,928,15,16-06-22,27-06-23,United States,33,Male,Smartphone,,1 Month,,
182,Basic,927,13,16-05-22,25-06-23,Canada,30,Female,Laptop,,1 Month,,
183,Standard,927,15,26-05-22,26-06-23,United Kingdom,36,Female,Tablet,,1 Month,,
184,Standard,927,13,26-04-22,25-06-23,Australia,28,Female,Laptop,,1 Month,,
185,Basic,926,11,12/5/2022,25-06-23,Germany,47,Female,Tablet,,1 Month,,
186,Premium,926,12,1/3/2022,25-06-23,France,33,Female,Smart TV,,1 Month,,
187,Basic,925,13,10/7/2022,24-06-23,Brazil,49,Female,Laptop,,1 Month,,
188,Standard,925,15,16-07-22,27-06-23,Mexico,44,Female,Smart TV,,1 Month,,
189,Premium,925,13,2/9/2022,26-06-23,Spain,47,Male,Smart TV,,1 Month,,
190,Basic,924,11,18-09-22,26-06-23,Italy,37,Female,Tablet,,1 Month,,
191,Premium,924,10,8/7/2022,25-06-23,United States,46,Male,Laptop,,1 Month,,
192,Basic,923,14,26-06-22,27-06-23,Canada,50,Female,Smartphone,,1 Month,,
193,Standard,923,11,5/8/2022,25-06-23,United Kingdom,50,Male,Laptop,,1 Month,,
194,Standard,923,14,19-08-22,27-06-23,Australia,37,Male,Laptop,,1 Month,,
195,Basic,922,11,26-08-22,24-06-23,Germany,50,Female,Smartphone,,1 Month,,
196,Premium,922,13,9/6/2022,24-06-23,France,45,Female,Smart TV,,1 Month,,
197,Basic,921,14,27-09-22,23-06-23,Brazil,45,Male,Tablet,,1 Month,,
198,Standard,921,10,18-10-22,27-06-23,Mexico,49,Female,Laptop,,1 Month,,
199,Premium,921,14,31-10-22,25-06-23,Spain,39,Female,Tablet,,1 Month,,
200,Basic,920,11,13-10-22,25-06-23,Italy,45,Female,Tablet,,1 Month,,
201,Premium,920,11,4/7/2022,27-06-23,United States,49,Female,Smart TV,,1 Month,,
202,Basic,919,12,26-06-22,27-06-23,Canada,31,Female,Tablet,,1 Month,,
203,Standard,919,13,31-07-22,24-06-23,United Kingdom,42,Female,Smart TV,,1 Month,,
204,Standard,919,12,27-07-22,24-06-23,Australia,37,Male,Smartphone,,1 Month,,
205,Basic,918,12,30-07-22,25-06-23,Germany,30,Male,Smart TV,,1 Month,,
206,Premium,918,11,6/8/2022,25-06-23,France,40,Male,Smartphone,,1 Month,,
207,Basic,917,15,16-09-22,24-06-23,Brazil,45,Female,Smartphone,,1 Month,,
208,Standard,917,15,5/1/2023,23-06-23,Mexico,36,Female,Tablet,,1 Month,,
209,Premium,917,11,10/12/2022,24-06-23,Spain,41,Male,Laptop,,1 Month,,
210,Basic,916,14,22-11-22,26-06-23,Italy,49,Female,Laptop,,1 Month,,
211,Premium,916,15,15-11-22,27-06-23,United States,40,Male,Tablet,,1 Month,,
212,Basic,915,11,28-10-22,26-06-23,Canada,36,Male,Smart TV,,1 Month,,
213,Standard,915,12,8/9/2022,24-06-23,United Kingdom,49,Female,Smart TV,,1 Month,,
214,Standard,915,13,30-06-22,28-06-23,Australia,43,Female,Laptop,,1 Month,,
215,Basic,914,13,2/9/2022,27-06-23,Germany,50,Female,Smartphone,,1 Month,,
216,Premium,914,14,8/10/2022,24-06-23,France,51,Female,Smart TV,,1 Month,,
217,Basic,913,15,13-11-22,25-06-23,Brazil,44,Male,Smart TV,,1 Month,,
218,Standard,913,12,15-11-22,28-06-23,Mexico,27,Male,Tablet,,1 Month,,
219,Premium,913,12,16-11-22,25-06-23,Spain,46,Female,Smartphone,,1 Month,,
220,Basic,912,12,26-11-22,27-06-23,Italy,29,Male,Tablet,,1 Month,,
221,Basic,911,12,26-11-22,25-06-23,United States,47,Male,Smartphone,,1 Month,,
222,Basic,910,10,12/12/2022,26-06-23,Canada,48,Female,Smartphone,,1 Month,,
223,Standard,910,12,8/1/2023,25-06-23,United Kingdom,34,Female,Smartphone,,1 Month,,
224,Premium,910,15,27-11-22,29-06-23,Australia,40,Female,Smartphone,,1 Month,,
225,Basic,909,14,11/10/2022,27-06-23,Germany,48,Female,Smartphone,,1 Month,,
226,Basic,908,10,27-09-22,26-06-23,France,35,Male,Smartphone,,1 Month,,
227,Premium,908,12,30-09-22,24-06-23,Brazil,51,Female,Smartphone,,1 Month,,
228,Standard,908,10,4/11/2022,27-06-23,Mexico,39,Male,Smart TV,,1 Month,,
229,Standard,908,13,4/11/2022,27-06-23,Spain,29,Male,Smartphone,,1 Month,,
230,Basic,907,12,30-10-22,26-06-23,Italy,51,Male,Laptop,,1 Month,,
231,Premium,907,11,29-10-22,24-06-23,United States,43,Male,Smartphone,,1 Month,,
232,Standard,907,11,30-08-22,27-06-23,Canada,28,Male,Smartphone,,1 Month,,
233,Basic,906,15,7/7/2022,26-06-23,United Kingdom,50,Female,Smart TV,,1 Month,,
234,Standard,906,14,26-05-22,27-06-23,Australia,44,Female,Laptop,,1 Month,,
235,Premium,906,11,17-05-22,25-06-23,Germany,50,Male,Laptop,,1 Month,,
236,Basic,905,11,8/5/2022,26-06-23,France,39,Female,Smartphone,,1 Month,,
237,Premium,905,13,7/7/2022,25-06-23,Brazil,46,Female,Tablet,,1 Month,,
238,Standard,905,15,17-07-22,28-06-23,Mexico,48,Male,Smartphone,,1 Month,,
239,Basic,904,15,23-12-22,26-06-23,Spain,38,Male,Smart TV,,1 Month,,
240,Standard,904,13,27-06-22,26-06-23,Italy,38,Male,Smartphone,,1 Month,,
241,Premium,904,13,31-05-22,27-06-23,United States,47,Male,Laptop,,1 Month,,
242,Basic,903,12,2/6/2022,26-06-23,Canada,37,Male,Laptop,,1 Month,,
243,Standard,903,11,25-05-22,27-06-23,United Kingdom,33,Male,Laptop,,1 Month,,
244,Premium,903,15,26-04-22,26-06-23,Australia,28,Male,Smartphone,,1 Month,,
245,Basic,902,13,20-04-22,26-06-23,Germany,47,Male,Smart TV,,1 Month,,
246,Premium,902,11,3/5/2022,25-06-23,France,38,Female,Smartphone,,1 Month,,
247,Basic,901,12,7/7/2022,27-06-23,Brazil,27,Male,Smart TV,,1 Month,,
248,Standard,901,13,15-09-22,26-06-23,Mexico,34,Male,Smartphone,,1 Month,,
249,Standard,901,14,16-09-22,27-06-23,Spain,42,Female,Smartphone,,1 Month,,
250,Basic,900,14,9/8/2022,26-06-23,Italy,28,Male,Laptop,,1 Month,,
251,Premium,900,15,25-06-22,27-06-23,United States,30,Male,Laptop,,1 Month,,
252,Basic,899,11,30-05-22,26-06-23,Canada,38,Female,Smartphone,,1 Month,,
253,Standard,899,15,21-05-22,25-06-23,United Kingdom,45,Female,Tablet,,1 Month,,
254,Premium,899,12,20-05-22,27-06-23,Australia,48,Female,Smart TV,,1 Month,,
255,Basic,898,13,20-05-22,26-06-23,Germany,46,Female,Smart TV,,1 Month,,
256,Premium,898,12,30-05-22,26-06-23,France,34,Male,Tablet,,1 Month,,
257,Basic,897,13,17-06-22,25-06-23,Brazil,46,Male,Laptop,,1 Month,,
258,Standard,897,11,16-07-22,28-06-23,Mexico,41,Female,Smartphone,,1 Month,,
259,Standard,897,15,5/8/2022,26-06-23,Spain,28,Male,Smartphone,,1 Month,,
260,Basic,896,10,17-07-22,26-06-23,Italy,27,Female,Smartphone,,1 Month,,
261,Premium,896,13,4/7/2022,25-06-23,United States,27,Female,Smart TV,,1 Month,,
262,Basic,895,12,13-07-22,26-06-23,Canada,28,Female,Tablet,,1 Month,,
263,Standard,895,15,25-07-22,24-06-23,United Kingdom,46,Male,Smartphone,,1 Month,,
264,Premium,895,10,9/8/2022,27-06-23,Australia,51,Male,Smartphone,,1 Month,,
265,Basic,894,11,5/8/2022,25-06-23,Germany,32,Female,Smart TV,,1 Month,,
266,Premium,894,10,17-08-22,26-06-23,France,44,Male,Tablet,,1 Month,,
267,Basic,893,11,8/9/2022,27-06-23,Brazil,44,Female,Laptop,,1 Month,,
268,Standard,893,13,16-10-22,28-06-23,Mexico,34,Female,Smart TV,,1 Month,,
269,Standard,893,13,15-10-22,25-06-23,Spain,29,Female,Laptop,,1 Month,,
270,Basic,892,12,4/9/2022,25-06-23,Italy,47,Male,Smart TV,,1 Month,,
271,Premium,892,14,20-08-22,26-06-23,United States,41,Male,Laptop,,1 Month,,
272,Basic,891,10,10/8/2022,26-06-23,Canada,36,Female,Smartphone,,1 Month,,
273,Standard,891,12,2/8/2022,25-06-23,United Kingdom,28,Female,Laptop,,1 Month,,
274,Premium,891,10,1/8/2022,24-06-23,Australia,27,Female,Tablet,,1 Month,,
275,Basic,890,15,6/8/2022,25-06-23,Germany,34,Female,Laptop,,1 Month,,
276,Premium,890,14,9/8/2022,25-06-23,France,34,Female,Smart TV,,1 Month,,
277,Basic,889,13,12/9/2022,26-06-23,Brazil,37,Female,Tablet,,1 Month,,
278,Standard,889,14,27-09-22,26-06-23,Mexico,34,Female,Laptop,,1 Month,,
279,Standard,889,15,12/11/2022,24-06-23,Spain,50,Female,Laptop,,1 Month,,
280,Basic,888,12,13-11-22,27-06-23,Italy,34,Female,Laptop,,1 Month,,
281,Premium,888,12,2/11/2022,28-06-23,United States,33,Female,Smart TV,,1 Month,,
282,Basic,887,11,30-10-22,25-06-23,Canada,33,Male,Smart TV,,1 Month,,
283,Standard,887,15,30-06-22,26-06-23,United Kingdom,46,Male,Smartphone,,1 Month,,
284,Premium,887,14,4/8/2022,28-06-23,Australia,39,Female,Smartphone,,1 Month,,
285,Basic,886,10,1/9/2022,27-06-23,Germany,42,Female,Laptop,,1 Month,,
286,Premium,886,14,14-10-22,27-06-23,France,50,Female,Laptop,,1 Month,,
287,Basic,885,10,16-10-22,26-06-23,Brazil,43,Male,Smartphone,,1 Month,,
288,Standard,885,14,20-10-22,28-06-23,Mexico,51,Male,Smart TV,,1 Month,,
289,Standard,885,15,20-11-22,25-06-23,Spain,34,Female,Smart TV,,1 Month,,
290,Basic,884,12,25-11-22,30-06-23,Italy,48,Male,Smartphone,,1 Month,,
291,Premium,884,13,4/12/2022,27-06-23,United States,29,Female,Tablet,,1 Month,,
292,Basic,883,11,12/12/2022,27-06-23,Canada,43,Female,Laptop,,1 Month,,
293,Standard,883,14,9/12/2022,25-06-23,United Kingdom,39,Female,Laptop,,1 Month,,
294,Premium,883,10,15-10-22,29-06-23,Australia,50,Male,Laptop,,1 Month,,
295,Basic,882,14,3/10/2022,27-06-23,Germany,45,Male,Laptop,,1 Month,,
296,Basic,881,12,1/10/2022,27-06-23,France,48,Female,Tablet,,1 Month,,
297,Basic,880,13,2/11/2022,24-06-23,Brazil,40,Male,Smartphone,,1 Month,,
298,Standard,880,14,3/11/2022,27-06-23,Mexico,41,Male,Tablet,,1 Month,,
299,Premium,880,10,30-10-22,27-06-23,Spain,27,Male,Smartphone,,1 Month,,
300,Basic,879,11,30-10-22,28-06-23,Italy,36,Male,Laptop,,1 Month,,
301,Basic,878,10,27-09-22,24-06-23,United States,36,Female,Laptop,,1 Month,,
302,Premium,878,11,14-09-22,27-06-23,Canada,44,Male,Tablet,,1 Month,,
303,Standard,878,12,11/6/2022,26-06-23,United Kingdom,45,Male,Tablet,,1 Month,,
304,Standard,878,12,11/6/2022,29-06-23,Australia,33,Female,Smartphone,,1 Month,,
305,Basic,877,13,24-05-22,26-06-23,Germany,47,Male,Smart TV,,1 Month,,
306,Premium,877,13,6/7/2022,27-06-23,France,45,Male,Tablet,,1 Month,,
